YEAR,HS_CODE,MILL_CORPORATE_GROUP,MILL,PORT_OF_EXPORT,PROVINCE_OF_EXPORT,PULP_EXPORT_VOLUME_TONNES,FOB_VALUES_USD,IMPORTER_CORPORATE_GROUP,IMPORTER,COUNTRY_OF_IMPORTER,PORT_OF_DESTINATION,COUNTRY_OF_DESTINATION
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640285,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640344,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640403,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,508,320326,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640492,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1016,640955,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,FUTONG,RIAU,1015,640381,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,SHANGHAI,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,508,320436,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,304,185107,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,203,123458,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,41,25609,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
2022,470200,ROYAL GOLDEN EAGLE,APRIL,BUATAN,RIAU,467,294690,ROYAL GOLDEN EAGLE,APRIL FAR EAST MALAYSIA SDN BHD,MALAYSIA,PORT KELANG,CHINA (MAINLAND)
